symbol,name,market,category,enabled
ROBO,ROBO Global Robotics and Automation,US,Robotique et IA,true
ARKK,ARK Innovation,US,Innovation,true
MTUM,iShares MSCI USA Momentum Factor,US,Facteur momentum,true
QUAL,iShares MSCI USA Quality Factor,US,Facteur qualité,true
USMV,iShares MSCI USA Min Vol Factor,US,Facteur faible volatilité,true
VLUE,iShares MSCI USA Value Factor,US,Facteur valeur,true
VIG,Vanguard Dividend Appreciation,US,Dividendes,true
VYM,Vanguard High Dividend Yield,US,Dividendes,true
SCHD,Schwab US Dividend Equity,US,Dividendes,true
IWF,iShares Russell 1000 Growth,US,Croissance,true
IWD,iShares Russell 1000 Value,US,Valeur,true
IWO,iShares Russell 2000 Growth,US,Croissance petites capitalisations,true
IWN,iShares Russell 2000 Value,US,Valeur petites capitalisations,true
VNQ,Vanguard Real Estate,US,Immobilier,true
IYR,iShares US Real Estate,US,Immobilier,true
TLT,iShares 20+ Year Treasury Bond,US,Obligations long terme,true
IEF,iShares 7-10 Year Treasury Bond,US,Obligations moyen terme,true
SHY,iShares 1-3 Year Treasury Bond,US,Obligations court terme,true
SGOV,iShares 0-3 Month Treasury Bond,US,Trésorerie,true
HYG,iShares iBoxx High Yield Corporate Bond,US,Obligations haut rendement,true
JNK,SPDR Bloomberg High Yield Bond,US,Obligations haut rendement,true
LQD,iShares iBoxx Investment Grade Corporate Bond,US,Obligations corporatives,true
TIP,iShares TIPS Bond,US,Obligations indexées inflation,true
BND,Vanguard Total Bond Market,US,Obligations,true
AGG,iShares Core US Aggregate Bond,US,Obligations,true
EMB,iShares JPMorgan USD Emerging Markets Bond,US,Dette émergente,true
GLD,SPDR Gold Shares,US,Or et métaux,true
IAU,iShares Gold Trust,US,Or et métaux,true
SLV,iShares Silver Trust,US,Or et métaux,true
GDX,VanEck Gold Miners,US,Or et minières,true
GDXJ,VanEck Junior Gold Miners,US,Or et minières,true
USO,United States Oil Fund,US,Énergie et matières premières,true
XOP,SPDR S&P Oil & Gas Exploration & Production,US,Énergie,true
XME,SPDR S&P Metals and Mining,US,Matériaux,true
COPX,Global X Copper Miners,US,Cuivre,true
URA,Global X Uranium,US,Uranium,true
PDBC,Invesco Optimum Yield Diversified Commodity,US,Matières premières,true
DBA,Invesco DB Agriculture,US,Agriculture,true
EWJ,iShares MSCI Japan,US,Pays,true
EWZ,iShares MSCI Brazil,US,Pays,true
FXI,iShares China Large-Cap,US,Pays,true
KWEB,KraneShares CSI China Internet,US,Pays,true
INDA,iShares MSCI India,US,Pays,true
EWY,iShares MSCI South Korea,US,Pays,true
EWT,iShares MSCI Taiwan,US,Pays,true
EWC,iShares MSCI Canada,US,Pays,true
EWW,iShares MSCI Mexico,US,Pays,true
EWA,iShares MSCI Australia,US,Pays,true
EWU,iShares MSCI United Kingdom,US,Pays,true
EWG,iShares MSCI Germany,US,Pays,true
EWQ,iShares MSCI France,US,Pays,true
EWI,iShares MSCI Italy,US,Pays,true
EWP,iShares MSCI Spain,US,Pays,true
EWH,iShares MSCI Hong Kong,US,Pays,true
